drive,engine,exterior,fuel,interior,location,make,mileage,model,modification,mpg,name,price,transmission,url,vin,year
,,Fathom Blue Pearl,,Graystone,"Palatine, IL",Acura,"12,082",MDX,SH-AWD with Technology,,2016 Acura MDX,"$38,698",,https://www.truecar.com/used-cars-for-sale/listing/5FRYD4H41GB057095/2016-acura-mdx/,5FRYD4H41GB057095,2016
,,Graphite Luster Metallic,,Ebony,"Hoffman Estates, IL",Acura,"19,716",TLX,FWD V6 with Advance Package,,2015 Acura TLX,"$26,929",,https://www.truecar.com/used-cars-for-sale/listing/19UUB2F7XFA009546/2015-acura-tlx/,19UUB2F7XFA009546,2015
,,Triathlon Gray Metallic,,Gray,"Rockford, IL",Hyundai,"20,631",Accent,SE Sedan Automatic,,2017 Hyundai Accent,"$11,772",,https://www.truecar.com/used-cars-for-sale/listing/KMHCT4AE0HU206067/2017-hyundai-accent/?zipcode=61109,KMHCT4AE0HU206067,2017
,,Symphony Silver,,Gray,"Mt Pleasant, WI",Hyundai,"41,939",Sonata,2.0T Sport,,2015 Hyundai Sonata,"$15,990",,https://www.truecar.com/used-cars-for-sale/listing/5NPE34AB0FH092730/2015-hyundai-sonata/,5NPE34AB0FH092730,2015
,,Ultra Black Pearl,,Gray,"Brookfield, WI",Hyundai,"22,928",Accent,SE Hatchback Automatic,,2017 Hyundai Accent,"$11,672",,https://www.truecar.com/used-cars-for-sale/listing/KMHCT5AEXHU335486/2017-hyundai-accent/?zipcode=53005,KMHCT5AEXHU335486,2017
,,Graphite Luster Metallic,,Ebony,"Palatine, IL",Acura,"20,798",MDX,SH-AWD with Technology,,2016 Acura MDX,"$37,998",,https://www.truecar.com/used-cars-for-sale/listing/5FRYD4H40GB053541/2016-acura-mdx/,5FRYD4H40GB053541,2016
,,White Diamond,,Parchment,"Hoffman Estates, IL",Acura,"6,160",RDX,FWD,,2017 Acura RDX,"$31,929",,https://www.truecar.com/used-cars-for-sale/listing/5J8TB3H33HL017569/2017-acura-rdx/,5J8TB3H33HL017569,2017
,,Vivid Blue Metallic,,Black,"Brookfield, WI",Hyundai,"87,417",Elantra,4dr Wagon Auto Touring,,2009 Hyundai Elantra,"$7,000",,https://www.truecar.com/used-cars-for-sale/listing/KMHDC86E59U032504/2009-hyundai-elantra/,KMHDC86E59U032504,2009
,,Silver,,Gray,"Schaumburg, IL",Hyundai,"45,757",Elantra,SE Automatic,,2017 Hyundai Elantra,"$13,495",,https://www.truecar.com/used-cars-for-sale/listing/5NPD74LF8HH080053/2017-hyundai-elantra/,5NPD74LF8HH080053,2017
,,Ultra Black Pearl,,Gray,"Rockford, IL",Hyundai,"21,122",Accent,SE Sedan Automatic,,2017 Hyundai Accent,"$11,772",,https://www.truecar.com/used-cars-for-sale/listing/KMHCT4AE1HU238249/2017-hyundai-accent/?zipcode=61109,KMHCT4AE1HU238249,2017
,,Crystal Black Pearl,,Graystone,"Hoffman Estates, IL",Acura,"34,930",TLX,SH-AWD V6 with Technology Package,,2015 Acura TLX,"$25,999",,https://www.truecar.com/used-cars-for-sale/listing/19UUB3F56FA001593/2015-acura-tlx/,19UUB3F56FA001593,2015
,,Lunar Silver Metallic,,Gray,"Palatine, IL",Acura,"5,880",MDX,SH-AWD with Technology,,2016 Acura MDX,"$39,698",,https://www.truecar.com/used-cars-for-sale/listing/5FRYD4H45GB060372/2016-acura-mdx/,5FRYD4H45GB060372,2016
,,White Diamond Pearl,,Ebony,"Palatine, IL",Acura,"18,728",MDX,SH-AWD with Technology,,2016 Acura MDX,"$38,698",,https://www.truecar.com/used-cars-for-sale/listing/5FRYD4H49GB061637/2016-acura-mdx/,5FRYD4H49GB061637,2016
,,Century White,,Gray,"Brookfield, WI",Hyundai,"21,862",Accent,SE Sedan Automatic,,2017 Hyundai Accent,"$11,772",,https://www.truecar.com/used-cars-for-sale/listing/KMHCT4AE2HU217507/2017-hyundai-accent/?zipcode=53005,KMHCT4AE2HU217507,2017
,,White,,Beige,"Kenosha, WI",Hyundai,"63,490",Elantra,GLS automatic,,2013 Hyundai Elantra,"$10,523",,https://www.truecar.com/used-cars-for-sale/listing/5NPDH4AE2DH234824/2013-hyundai-elantra/,5NPDH4AE2DH234824,2013
,,Symphony Silver,,Gray,"Schaumburg, IL",Hyundai,"44,896",Elantra,Limited,,2015 Hyundai Elantra,"$12,500",,https://www.truecar.com/used-cars-for-sale/listing/5NPDH4AE1FH641410/2015-hyundai-elantra/,5NPDH4AE1FH641410,2015
,,Bellanova White Pearl,,Graystone,"Hoffman Estates, IL",Acura,"38,994",TLX,SH-AWD V6 with Technology Package,,2015 Acura TLX,"$25,929",,https://www.truecar.com/used-cars-for-sale/listing/19UUB3F59FA002608/2015-acura-tlx/,19UUB3F59FA002608,2015
,,White Diamond Pearl,,Parchment,"Hoffman Estates, IL",Acura,"33,573",RDX,AWD with Technology Package,,2015 Acura RDX,"$28,929",,https://www.truecar.com/used-cars-for-sale/listing/5J8TB4H50FL029165/2015-acura-rdx/,5J8TB4H50FL029165,2015
,,Graphite Luster Metallic,,Ebony,"Palatine, IL",Acura,"5,551",MDX,SH-AWD with Technology,,2016 Acura MDX,"$40,298",,https://www.truecar.com/used-cars-for-sale/listing/5FRYD4H49GB056230/2016-acura-mdx/,5FRYD4H49GB056230,2016
,,Boston Red Metallic,,Gray,"Brookfield, WI",Hyundai,"22,412",Accent,SE Sedan Automatic,,2017 Hyundai Accent,"$11,772",,https://www.truecar.com/used-cars-for-sale/listing/KMHCT4AE9HU206374/2017-hyundai-accent/?zipcode=53005,KMHCT4AE9HU206374,2017
,,Boston Red Metallic,,Gray,"Rockford, IL",Hyundai,"21,766",Accent,SE Sedan Automatic,,2017 Hyundai Accent,"$11,772",,https://www.truecar.com/used-cars-for-sale/listing/KMHCT4AE2HU290604/2017-hyundai-accent/?zipcode=61109,KMHCT4AE2HU290604,2017
,,Sparkling Ruby Mica,,Camel,"Hoffman Estates, IL",Hyundai,"43,060",Sonata,Limited,,2013 Hyundai Sonata,"$13,492",,https://www.truecar.com/used-cars-for-sale/listing/5NPEC4AC5DH711554/2013-hyundai-sonata/,5NPEC4AC5DH711554,2013
,,Crystal Black Pearl,,Graystone,"Palatine, IL",Acura,"15,503",TLX,FWD V6 with Technology Package,,2015 Acura TLX,"$30,995",,https://www.truecar.com/used-cars-for-sale/listing/19UUB2F58FA009107/2015-acura-tlx/,19UUB2F58FA009107,2015
,,Black,,Ebony,"Palatine, IL",Acura,"34,494",MDX,SH-AWD with Advance Package,,2016 Acura MDX,"$38,498",,https://www.truecar.com/used-cars-for-sale/listing/5FRYD4H94GB024622/2016-acura-mdx/,5FRYD4H94GB024622,2016
,,White Diamond Pearl,,Eucalyptus,"Palatine, IL",Acura,"22,749",MDX,SH-AWD with Advance Package,,2016 Acura MDX,"$39,498",,https://www.truecar.com/used-cars-for-sale/listing/5FRYD4H98GB038894/2016-acura-mdx/,5FRYD4H98GB038894,2016
,,Black,,Gray,"Waukegan, IL",Hyundai,"35,147",Elantra,SE Automatic,,2015 Hyundai Elantra,"$13,095",,https://www.truecar.com/used-cars-for-sale/listing/5NPDH4AE5FH582197/2015-hyundai-elantra/,5NPDH4AE5FH582197,2015
,,,,,"Schaumburg, IL",Hyundai,"48,693",Sonata,2.4L Sport,,2016 Hyundai Sonata,"$14,995",,https://www.truecar.com/used-cars-for-sale/listing/5NPE34AF0GH299302/2016-hyundai-sonata/,5NPE34AF0GH299302,2016
,,Silver,,Gray,"Schaumburg, IL",Hyundai,"47,705",Elantra,SE Automatic,,2016 Hyundai Elantra,"$12,695",,https://www.truecar.com/used-cars-for-sale/listing/5NPDH4AE5GH677084/2016-hyundai-elantra/,5NPDH4AE5GH677084,2016
,,Black Copper Pearl,,Parchment,"Hoffman Estates, IL",Acura,"18,088",MDX,SH-AWD with Technology,,2017 Acura MDX,"$41,929",,https://www.truecar.com/used-cars-for-sale/listing/5FRYD4H54HB008998/2017-acura-mdx/,5FRYD4H54HB008998,2017
,,Crystal Black Pearl,,Parchment,"Gurnee, IL",Acura,"3,702",MDX,SH-AWD with Technology,,2017 Acura MDX,"$42,995",,https://www.truecar.com/used-cars-for-sale/listing/5FRYD4H51HB030408/2017-acura-mdx/,5FRYD4H51HB030408,2017
,,Black Onyx,,Ash,"Fond Du Lac, WI",Lexus,"113,580",LS,4dr Sedan,,2004 Lexus LS 430,"$7,997",,https://www.truecar.com/used-cars-for-sale/listing/JTHBN36F140166054/2004-lexus-ls-430/,JTHBN36F140166054,2004
,,Titanium Gray,,Gray 2-Tone,"Palatine, IL",Kia,"38,653",Soul,+,,2016 Kia Soul,"$12,607",,https://www.truecar.com/used-cars-for-sale/listing/KNDJP3A56G7238688/2016-kia-soul/,KNDJP3A56G7238688,2016
,,Nebula Gray Pearl,,Flaxen,"Schaumburg, IL",Lexus,"17,190",GS,RWD,,2016 Lexus GS 200t,"$31,995",,https://www.truecar.com/used-cars-for-sale/listing/JTHBA1BL6GA001692/2016-lexus-gs-200t/,JTHBA1BL6GA001692,2016
,,Obsidian,,Black,"Arlington Heights, IL",Lexus,"63,995",RX,2WD,,2015 Lexus RX 350,"$24,987",,https://www.truecar.com/used-cars-for-sale/listing/2T2ZK1BA5FC166375/2015-lexus-rx-350/,2T2ZK1BA5FC166375,2015
,,Black Onyx,,Ivory,"Arlington Heights, IL",Lexus,"207,932",GX,4WD 4dr,,2008 Lexus GX 470,"$11,663",,https://www.truecar.com/used-cars-for-sale/listing/JTJBT20X780167294/2008-lexus-gx-470/,JTJBT20X780167294,2008
,,Satin Metal,,Black,"Libertyville, IL",Kia,"99,322",Sorento,LX 4-cyl 2WD,,2014 Kia Sorento,"$9,681",,https://www.truecar.com/used-cars-for-sale/listing/5XYKT3A61EG548160/2014-kia-sorento/,5XYKT3A61EG548160,2014
,,Remington Red,,Satin Black,"Madison, WI",Kia,"30,638",Sorento,LX V6 2WD,,2017 Kia Sorento,"$18,995",,https://www.truecar.com/used-cars-for-sale/listing/5XYPG4A54HG190743/2017-kia-sorento/,5XYPG4A54HG190743,2017
,,Red,,,"McHenry, IL",Kia,"53,011",Sorento,LX 4-cyl 2WD,,2015 Kia Sorento,"$15,990",,https://www.truecar.com/used-cars-for-sale/listing/5XYKT4A62FG638389/2015-kia-sorento/,5XYKT4A62FG638389,2015
,,Atomic Silver,,Black,"Arlington Heights, IL",Lexus,"5,339",NX,AWD,,2016 Lexus NX 200t,"$38,996",,https://www.truecar.com/used-cars-for-sale/listing/JTJBARBZ7G2089390/2016-lexus-nx-200t/,JTJBARBZ7G2089390,2016
,,Graphite Gray Pearl,,Black,"Arlington Heights, IL",Lexus,"35,783",IS,4dr Sport Sedan Auto,,2005 Lexus IS 300,"$13,995",,https://www.truecar.com/used-cars-for-sale/listing/JTHBD192950096207/2005-lexus-is-300/,JTHBD192950096207,2005
,,Nebula Gray Pearl,,Black,"Barrington, IL",Lexus,"27,572",RX,AWD,,2015 Lexus RX 350,"$29,888",,https://www.truecar.com/used-cars-for-sale/listing/2T2BK1BAXFC267381/2015-lexus-rx-350/,2T2BK1BAXFC267381,2015
,,White Sand Beige,,Beige,"Woodstock, IL",Kia,"90,114",Sorento,2WD 4dr I4 EX,,2011 Kia Sorento,"$9,998",,https://www.truecar.com/used-cars-for-sale/listing/5XYKU3A17BG151257/2011-kia-sorento/,5XYKU3A17BG151257,2011
,,Aurora Black,,Gray,"Gurnee, IL",Kia,"5,920",Forte,LX Automatic,,2015 Kia Forte,"$15,000",,https://www.truecar.com/used-cars-for-sale/listing/KNAFK4A61F5286531/2015-kia-forte/,KNAFK4A61F5286531,2015
,,White,,Other,"Machesney Park, IL",Hyundai,"59,244",Elantra,Limited,,2014 Hyundai Elantra,"$11,499",,https://www.truecar.com/used-cars-for-sale/listing/5NPDH4AE7EH494296/2014-hyundai-elantra/,5NPDH4AE7EH494296,2014
,,Ultrasonic Blue Mica W/Black Roof,,Black,"Highland Park, IL",Lexus,"46,786",CT,Hybrid,,2014 Lexus CT 200h,"$26,895",,https://www.truecar.com/used-cars-for-sale/listing/JTHKD5BH7E2174817/2014-lexus-ct-200h/,JTHKD5BH7E2174817,2014
,,Silver Lining Metallic,,Black,"Arlington Heights, IL",Lexus,"36,370",IS,Sedan AWD,,2015 Lexus IS 250,"$30,999",,https://www.truecar.com/used-cars-for-sale/listing/JTHCF1D21F5022709/2015-lexus-is-250/,JTHCF1D21F5022709,2015
,,Smoky Granite Mica,,Lt Gray,"Arlington Heights, IL",Lexus,"70,454",ES,4dr Sedan,,2007 Lexus ES 350,"$13,998",,https://www.truecar.com/used-cars-for-sale/listing/JTHBJ46G772033432/2007-lexus-es-350/,JTHBJ46G772033432,2007
,,Meteor Gray Mica,,Black,"Madison, WI",Mazda,"14,000",Mazda3,i Sport 4-Door Automatic,,2016 Mazda Mazda3,"$12,995",,https://www.truecar.com/used-cars-for-sale/listing/JM1BM1U75G1328738/2016-mazda-mazda3/,JM1BM1U75G1328738,2016
,,Ebony Black,,Dark Gray,"Schaumburg, IL",Kia,"42,990",Sorento,L 4-cyl 2WD,,2016 Kia Sorento,"$15,995",,https://www.truecar.com/used-cars-for-sale/listing/5XYPG4A31GG002631/2016-kia-sorento/,5XYPG4A31GG002631,2016
,,Solar Yellow,,Black,"West Allis, WI",Kia,"49,120",Soul,Automatic !,,2014 Kia Soul,"$12,000",,https://www.truecar.com/used-cars-for-sale/listing/KNDJX3A54E7088352/2014-kia-soul/,KNDJX3A54E7088352,2014
,,Red,,Black,"Loves Park, IL",Kia,"14,058",Soul,+,,2016 Kia Soul,"$15,750",,https://www.truecar.com/used-cars-for-sale/listing/KNDJP3A53G7862352/2016-kia-soul/,KNDJP3A53G7862352,2016
,,Red,,Black W/Leather Seating Surfaces,"JANESVILLE, WI",Hyundai,"49,620",Sonata,Limited 2.0T,,2014 Hyundai Sonata,"$15,834",,https://www.truecar.com/used-cars-for-sale/listing/5NPEC4ABXEH865542/2014-hyundai-sonata/,5NPEC4ABXEH865542,2014
,,Century White,,Gray,"Rockford, IL",Hyundai,"40,030",Accent,SE Hatchback Automatic,,2017 Hyundai Accent,"$9,972",,https://www.truecar.com/used-cars-for-sale/listing/KMHCT5AE2HU305186/2017-hyundai-accent/?zipcode=61109,KMHCT5AE2HU305186,2017
,,Shimmering Silver,,Black,"Madison, WI",Hyundai,"34,739",Elantra,Automatic,,2016 Hyundai Elantra GT,"$11,895",,https://www.truecar.com/used-cars-for-sale/listing/KMHD35LH5GU325331/2016-hyundai-elantra-gt/,KMHD35LH5GU325331,2016
,,Silver,,Black,"Schaumburg, IL",Lexus,"100,388",RX,AWD,,2014 Lexus RX 350,"$22,995",,https://www.truecar.com/used-cars-for-sale/listing/2T2BK1BA0EC246697/2014-lexus-rx-350/,2T2BK1BA0EC246697,2014
,,Black,,Flaxen,"Milwaukee, WI",Lexus,"43,107",GS,GS 350 AWD,,2013 Lexus GS 350,"$24,885",,https://www.truecar.com/used-cars-for-sale/listing/JTHCE1BL9D5017012/2013-lexus-gs-350/,JTHCE1BL9D5017012,2013
,,Liquid Platinum,,Light Gray,"Woodstock, IL",Lexus,"53,538",GS,GS 350 AWD,,2013 Lexus GS 350,"$25,622",,https://www.truecar.com/used-cars-for-sale/listing/JTHCE1BL1D5013102/2013-lexus-gs-350/,JTHCE1BL1D5013102,2013
,,Pearl,,Black,"Madison, WI",Mazda,"43,831",Mazda6,Sport Automatic,,2016 Mazda Mazda6,"$14,888",,https://www.truecar.com/used-cars-for-sale/listing/JM1GJ1U55G1481536/2016-mazda-mazda6/,JM1GJ1U55G1481536,2016
,,Red,,Black,"Oconomowoc, WI",Mazda,"22,360",Mazda3,i SV 4-Door automatic,,2014 Mazda Mazda3,"$11,897",,https://www.truecar.com/used-cars-for-sale/listing/JM1BM1T76E1210034/2014-mazda-mazda3/,JM1BM1T76E1210034,2014
,,Titanium Silver,,Beige,"Oconomowoc, WI",Kia,"57,050",Sorento,EX V6 2WD,,2014 Kia Sorento,"$15,774",,https://www.truecar.com/used-cars-for-sale/listing/5XYKU4A72EG520699/2014-kia-sorento/,5XYKU4A72EG520699,2014
,,Mineral Silver,,Black,"Kenosha, WI",Kia,"97,950",Sportage,2WD 4dr LX,,2012 Kia Sportage,"$9,491",,https://www.truecar.com/used-cars-for-sale/listing/KNDPB3A27C7190210/2012-kia-sportage/,KNDPB3A27C7190210,2012
,,Snow White Pearl,,Black,"Elgin, IL",Kia,"23,509",Optima,Limited,,2015 Kia Optima,"$20,870",,https://www.truecar.com/used-cars-for-sale/listing/5XXGR4A63FG410684/2015-kia-optima/,5XXGR4A63FG410684,2015
,,Blue,,Gray,"Rockford, IL",Hyundai,"89,316",Sonata,4dr Sedan 2.0 Auto SE,,2012 Hyundai Sonata,"$8,995",,https://www.truecar.com/used-cars-for-sale/listing/5NPEC4AB1CH335649/2012-hyundai-sonata/,5NPEC4AB1CH335649,2012
,,Ironman Silver Metallic,,Black,"Rockford, IL",Hyundai,"31,459",Accent,SE Hatchback Automatic,,2017 Hyundai Accent,"$10,772",,https://www.truecar.com/used-cars-for-sale/listing/KMHCT5AE1HU301002/2017-hyundai-accent/?zipcode=61109,KMHCT5AE1HU301002,2017
,,Black,,Other,"Machesney Park, IL",Hyundai,"85,404",Sonata,Limited,,2013 Hyundai Sonata,"$10,499",,https://www.truecar.com/used-cars-for-sale/listing/5NPEC4AC1DH570854/2013-hyundai-sonata/,5NPEC4AC1DH570854,2013
,,Pearl White,,Beige,"Palatine, IL",Lexus,"119,620",LS,4dr Sedan,,2002 Lexus LS 430,"$6,895",,https://www.truecar.com/used-cars-for-sale/listing/JTHBN30F220088454/2002-lexus-ls-430/,JTHBN30F220088454,2002
,,Obsidian,,Black,"Glendale, WI",Lexus,"46,311",GS,AWD,,2014 Lexus GS 350,"$25,994",,https://www.truecar.com/used-cars-for-sale/listing/JTHCE1BL3E5026497/2014-lexus-gs-350/,JTHCE1BL3E5026497,2014
,,White,,Ivory,"Arlington Heights, IL",Lexus,"94,800",RX,4dr SUV 4WD,,1999 Lexus RX 300 Luxury SUV,"$6,528",,https://www.truecar.com/used-cars-for-sale/listing/JT6HF10U6X0049876/1999-lexus-rx-300-luxury-suv/,JT6HF10U6X0049876,1999
,,Brilliant Silver,,Charcoal,"St Charles, IL",Nissan,"17,827",Sentra,S Automatic,,2014 Nissan Sentra,"$12,353",,https://www.truecar.com/used-cars-for-sale/listing/3N1AB7AP6EL680339/2014-nissan-sentra/,3N1AB7AP6EL680339,2014
,,Black Mica,,Black,"Madison, WI",Mazda,"108,630",Mazda3,4dr Sedan Auto i Sport,,2010 Mazda Mazda3,"$6,990",,https://www.truecar.com/used-cars-for-sale/listing/JM1BL1SG2A1292021/2010-mazda-mazda3/,JM1BL1SG2A1292021,2010
,,Sonic Silver Metallic,,Black,"Rockford, IL",Mazda,"30,605",Mazda6,Touring Automatic,,2017 Mazda Mazda6,"$17,272",,https://www.truecar.com/used-cars-for-sale/listing/JM1GL1V50H1116983/2017-mazda-mazda6/?zipcode=61109,JM1GL1V50H1116983,2017
,,Sonic Silver Metallic,,Black,"Rockford, IL",Mazda,"27,513",Mazda6,Touring Automatic,,2017 Mazda Mazda6,"$17,672",,https://www.truecar.com/used-cars-for-sale/listing/JM1GL1V54H1122477/2017-mazda-mazda6/?zipcode=61109,JM1GL1V54H1122477,2017
,,Gray,,,"Waukesha, WI",Kia,"57,564",Sportage,AWD 4dr LX,,2012 Kia Sportage,"$15,786",,https://www.truecar.com/used-cars-for-sale/listing/KNDPBCA27C7317702/2012-kia-sportage/,KNDPBCA27C7317702,2012
,,Alien Pearl Metallic,,Black,"Glendale, WI",Kia,"65,685",Soul,Automatic,,2013 Kia Soul,"$8,900",,https://www.truecar.com/used-cars-for-sale/listing/KNDJT2A55D7623774/2013-kia-soul/,KNDJT2A55D7623774,2013
,,Pacific Blue Pearl,,Black,"Rockford, IL",Hyundai,"16,245",Accent,SE Hatchback Automatic,,2017 Hyundai Accent,"$12,072",,https://www.truecar.com/used-cars-for-sale/listing/KMHCT5AE7HU336949/2017-hyundai-accent/?zipcode=61109,KMHCT5AE7HU336949,2017
,,Century White,,Gray,"Rockford, IL",Hyundai,"20,102",Accent,SE Sedan Automatic,,2017 Hyundai Accent,"$11,772",,https://www.truecar.com/used-cars-for-sale/listing/KMHCT4AE9HU274318/2017-hyundai-accent/?zipcode=61109,KMHCT4AE9HU274318,2017
,,Alabaster Metallic,,Black,"Arlington Heights, IL",Lexus,"73,676",ES,4dr Sedan,,2003 Lexus ES 300,"$9,995",,https://www.truecar.com/used-cars-for-sale/listing/JTHBF30G536010805/2003-lexus-es-300/,JTHBF30G536010805,2003
,,Obsidian,,Black,"Glendale, WI",Lexus,"35,799",RX,AWD,,2015 Lexus RX 350,"$29,900",,https://www.truecar.com/used-cars-for-sale/listing/2T2BK1BA3FC279422/2015-lexus-rx-350/,2T2BK1BA3FC279422,2015
,,Silver,,Parchment,"Milwaukee, WI",Lexus,"22,563",IS,Sedan AWD,,2016 Lexus IS 300,"$32,303",,https://www.truecar.com/used-cars-for-sale/listing/JTHCM1D2XG5004412/2016-lexus-is-300/,JTHCM1D2XG5004412,2016
,,Pearl White,,Beige,"Elgin, IL",Nissan,"55,001",Altima,2.5 SL,,2015 Nissan Altima,"$13,533",,https://www.truecar.com/used-cars-for-sale/listing/1N4AL3AP8FN871058/2015-nissan-altima/,1N4AL3AP8FN871058,2015
,,Ocean Gray Metallic,,Charcoal,"Libertyville, IL",Nissan,"63,359",Altima,2dr Coupe I4 CVT 2.5 S,,2012 Nissan Altima,"$9,931",,https://www.truecar.com/used-cars-for-sale/listing/1N4AL2EP3CC114242/2012-nissan-altima/,1N4AL2EP3CC114242,2012
,,Graphite Blue,,Charcoal,"West Allis, WI",Nissan,"88,471",Sentra,SV automatic,,2013 Nissan Sentra,"$7,995",,https://www.truecar.com/used-cars-for-sale/listing/3N1AB7AP1DL683115/2013-nissan-sentra/,3N1AB7AP1DL683115,2013
,,Sonic Silver Metallic,,Black,"Rockford, IL",Mazda,"32,494",Mazda6,Touring Automatic,,2017 Mazda Mazda6,"$17,272",,https://www.truecar.com/used-cars-for-sale/listing/JM1GL1V52H1108609/2017-mazda-mazda6/?zipcode=61109,JM1GL1V52H1108609,2017
,,Jet Black Mica,,Black,"Rockford, IL",Mazda,"28,989",Mazda6,Touring Automatic,,2017 Mazda Mazda6,"$17,672",,https://www.truecar.com/used-cars-for-sale/listing/JM1GL1V58H1123504/2017-mazda-mazda6/?zipcode=61109,JM1GL1V58H1123504,2017
,,White,,,"Rockford, IL",Mazda,"30,533",Mazda3,i Touring 5-Door Automatic,,2015 Mazda Mazda3,"$15,000",,https://www.truecar.com/used-cars-for-sale/listing/3MZBM1L75FM210107/2015-mazda-mazda3/,3MZBM1L75FM210107,2015
,,Black,,Black Leather,"Brookfield, WI",Kia,"55,930",Sportage,AWD 4dr EX,,2012 Kia Sportage,"$14,780",,https://www.truecar.com/used-cars-for-sale/listing/KNDPCCA23C7179511/2012-kia-sportage/,KNDPCCA23C7179511,2012
,,Black,,,"Franklin, WI",Kia,"72,684",Sorento,AWD 4dr V6 LX,,2012 Kia Sorento,"$12,444",,https://www.truecar.com/used-cars-for-sale/listing/5XYKTDA28CG265920/2012-kia-sorento/,5XYKTDA28CG265920,2012
,,Triathlon Gray Metallic,,Gray,"Rockford, IL",Hyundai,"20,631",Accent,SE Sedan Automatic,,2017 Hyundai Accent,"$11,772",,https://www.truecar.com/used-cars-for-sale/listing/KMHCT4AE0HU206067/2017-hyundai-accent/?zipcode=61109,KMHCT4AE0HU206067,2017
,,Ultra Black Pearl,,Gray,"Rockford, IL",Hyundai,"21,122",Accent,SE Sedan Automatic,,2017 Hyundai Accent,"$11,772",,https://www.truecar.com/used-cars-for-sale/listing/KMHCT4AE1HU238249/2017-hyundai-accent/?zipcode=61109,KMHCT4AE1HU238249,2017
,,Starfire Pearl,,Black W/Leather-Trimmed Seats,"West Allis, WI",Lexus,"34,416",GS,AWD,,2014 Lexus GS 350,"$28,597",,https://www.truecar.com/used-cars-for-sale/listing/JTHCE1BLXE5026724/2014-lexus-gs-350/,JTHCE1BLXE5026724,2014
,,Metallic Slate,,Charcoal,"Crystal Lake, IL",Nissan,"99,072",Altima,4dr Sedan I4 CVT 2.5 S,,2012 Nissan Altima,"$8,400",,https://www.truecar.com/used-cars-for-sale/listing/1N4AL2APXCC205272/2012-nissan-altima/,1N4AL2APXCC205272,2012
,,Silver,,Black,"Waukegan, IL",Nissan,"49,601",Altima,2.5,,2016 Nissan Altima,"$13,995",,https://www.truecar.com/used-cars-for-sale/listing/1N4AL3AP5GN349991/2016-nissan-altima/,1N4AL3AP5GN349991,2016
,,Super Black,,Charcoal,"Madison, WI",Nissan,"19,232",Altima,2.5 SL,,2015 Nissan Altima,"$17,795",,https://www.truecar.com/used-cars-for-sale/listing/1N4AL3AP5FN360584/2015-nissan-altima/,1N4AL3AP5FN360584,2015
,,Titanium Flash Mica,,Black,"Rockford, IL",Mazda,"35,869",Mazda6,Touring Automatic,,2017 Mazda Mazda6,"$17,272",,https://www.truecar.com/used-cars-for-sale/listing/JM1GL1V5XH1107420/2017-mazda-mazda6/?zipcode=61109,JM1GL1V5XH1107420,2017
,,Jet Black Mica,,Black,"MADISON, WI",Mazda,"69,289",Mazda6,Touring Automatic,,2015 Mazda Mazda6,"$14,577",,https://www.truecar.com/used-cars-for-sale/listing/JM1GJ1V60F1169923/2015-mazda-mazda6/,JM1GJ1V60F1169923,2015
,,Not Specified,,Other,"Machesney Park, IL",Mazda,"64,701",Mazda6,4dr Sedan Auto i Touring,,2012 Mazda Mazda6,"$10,999",,https://www.truecar.com/used-cars-for-sale/listing/1YVHZ8DHXC5M43698/2012-mazda-mazda6/,1YVHZ8DHXC5M43698,2012
,,Bright Silver,,Gray,"Waukegan, IL",Kia,"96,250",Sorento,LX 4-cyl 2WD Base,,2013 Kia Sorento,"$9,899",,https://www.truecar.com/used-cars-for-sale/listing/5XYKT3A18DG363137/2013-kia-sorento/,5XYKT3A18DG363137,2013
,,Red,,Black,"Kenosha, WI",Kia,"50,258",Sportage,EX AWD,,2014 Kia Sportage,"$15,989",,https://www.truecar.com/used-cars-for-sale/listing/KNDPCCAC3E7668132/2014-kia-sportage/,KNDPCCAC3E7668132,2014
,,Silver,,,"West Chicago, IL",Kia,"40,257",Soul,Automatic,,2015 Kia Soul,"$10,995",,https://www.truecar.com/used-cars-for-sale/listing/KNDJN2A26F7815269/2015-kia-soul/,KNDJN2A26F7815269,2015
,,Boston Red Metallic,,Gray,"Rockford, IL",Hyundai,"21,766",Accent,SE Sedan Automatic,,2017 Hyundai Accent,"$11,772",,https://www.truecar.com/used-cars-for-sale/listing/KMHCT4AE2HU290604/2017-hyundai-accent/?zipcode=61109,KMHCT4AE2HU290604,2017
,,Pacific Blue Pearl,,Gray,"Rockford, IL",Hyundai,"22,260",Accent,SE Sedan Automatic,,2017 Hyundai Accent,"$11,772",,https://www.truecar.com/used-cars-for-sale/listing/KMHCT4AE3HU212431/2017-hyundai-accent/?zipcode=61109,KMHCT4AE3HU212431,2017
,,Pacific Blue Pearl,,Black,"Rockford, IL",Hyundai,"28,284",Accent,SE Hatchback Automatic,,2017 Hyundai Accent,"$11,272",,https://www.truecar.com/used-cars-for-sale/listing/KMHCT5AE8HU313020/2017-hyundai-accent/?zipcode=61109,KMHCT5AE8HU313020,2017
,,Java Metallic,,Beige,"Madison, WI",Nissan,"10,861",Altima,3.5 SL,,2015 Nissan Altima,"$18,495",,https://www.truecar.com/used-cars-for-sale/listing/1N4BL3AP4FC575647/2015-nissan-altima/,1N4BL3AP4FC575647,2015
